Instancia: InstancesBRP/36Guadalajara30.txt, Q: 30
	Custo: 41967, Tempo: 7.746090
	Custo: 41457, Tempo: 7.604948
	Custo: 41692, Tempo: 7.327749
	Custo: 41630, Tempo: 7.365990
	Custo: 41647, Tempo: 8.598832
	Custo: 40847, Tempo: 8.298089
	Custo: 40763, Tempo: 7.332225
	Custo: 41020, Tempo: 7.196049
	Custo: 40270, Tempo: 8.099564
	Custo: 40443, Tempo: 8.196712
Melhor custo: 40270, média dos tempos: 7.776624
Instancia: InstancesBRP/27Brescia30.txt, Q: 30
	Custo: 30400, Tempo: 3.599427
	Custo: 30400, Tempo: 3.560772
	Custo: 30400, Tempo: 3.537584
	Custo: 30400, Tempo: 3.467750
	Custo: 30400, Tempo: 3.586074
	Custo: 30400, Tempo: 3.478377
	Custo: 30400, Tempo: 3.641063
	Custo: 30400, Tempo: 3.504522
	Custo: 30400, Tempo: 3.475048
	Custo: 30400, Tempo: 3.561977
Melhor custo: 30400, média dos tempos: 3.541259
Instancia: InstancesBRP/11Parma20.txt, Q: 20
	Custo: 29000, Tempo: 0.435612
	Custo: 29000, Tempo: 0.533868
	Custo: 29000, Tempo: 0.556685
	Custo: 29000, Tempo: 0.565978
	Custo: 29000, Tempo: 0.532679
	Custo: 29000, Tempo: 0.440247
	Custo: 29000, Tempo: 0.435973
	Custo: 29000, Tempo: 0.442739
	Custo: 29000, Tempo: 0.439465
	Custo: 29000, Tempo: 0.534690
Melhor custo: 29000, média dos tempos: 0.491794
Instancia: InstancesBRP/3Bari10.txt, Q: 10
	Custo: 20600, Tempo: 0.344801
	Custo: 20600, Tempo: 0.329629
	Custo: 20600, Tempo: 0.360936
	Custo: 20600, Tempo: 0.337379
	Custo: 20600, Tempo: 0.296099
	Custo: 20600, Tempo: 0.271429
	Custo: 20600, Tempo: 0.268725
	Custo: 20600, Tempo: 0.262270
	Custo: 20600, Tempo: 0.280239
	Custo: 20600, Tempo: 0.270019
Melhor custo: 20600, média dos tempos: 0.302153
Instancia: InstancesBRP/18LaSpezia10.txt, Q: 10
	Custo: 23281, Tempo: 1.184507
	Custo: 23281, Tempo: 1.333346
	Custo: 23281, Tempo: 1.094034
	Custo: 23281, Tempo: 1.059629
	Custo: 23281, Tempo: 1.379436
	Custo: 23281, Tempo: 1.162861
	Custo: 23281, Tempo: 1.037603
	Custo: 23281, Tempo: 1.320158
	Custo: 23281, Tempo: 1.260229
	Custo: 23281, Tempo: 1.088505
Melhor custo: 23281, média dos tempos: 1.192031
Instancia: InstancesBRP/34Madison20.txt, Q: 20
	Custo: 31961, Tempo: 4.003870
	Custo: 31961, Tempo: 3.918345
	Custo: 31961, Tempo: 3.977044
	Custo: 31961, Tempo: 4.044282
	Custo: 31961, Tempo: 3.973941
	Custo: 31961, Tempo: 3.952570
	Custo: 31961, Tempo: 4.012041
	Custo: 31961, Tempo: 3.799865
	Custo: 31961, Tempo: 3.855170
	Custo: 31961, Tempo: 3.978386
Melhor custo: 31961, média dos tempos: 3.951551
Instancia: InstancesBRP/46RioDeJaneiro20.txt, Q: 20
	Custo: 169758, Tempo: 19.851091
	Custo: 168880, Tempo: 20.456915
	Custo: 172331, Tempo: 22.494633
	Custo: 169821, Tempo: 20.864052
	Custo: 168521, Tempo: 21.809933
	Custo: 167431, Tempo: 22.044392
	Custo: 164456, Tempo: 22.037619
	Custo: 169219, Tempo: 20.499069
	Custo: 169936, Tempo: 22.619640
	Custo: 168582, Tempo: 22.483078
Melhor custo: 164456, média dos tempos: 21.516042
