Instancia: InstancesBRP/36Guadalajara30.txt, Q: 30
Melhor custo: 34900, média dos tempos: 11.660601
Instancia: InstancesBRP/17LaSpezia20.txt, Q: 20
	Custo: 21255, Tempo: 2.071813
	Custo: 21255, Tempo: 2.244880
	Custo: 21255, Tempo: 2.220491
	Custo: 21255, Tempo: 2.189057
	Custo: 21255, Tempo: 2.412535
	Custo: 21255, Tempo: 1.912260
	Custo: 21255, Tempo: 2.381588
	Custo: 21255, Tempo: 1.997292
	Custo: 21255, Tempo: 2.380617
	Custo: 21255, Tempo: 2.176240
Melhor custo: 21255, média dos tempos: 2.198677
Instancia: InstancesBRP/48Boston30.txt, Q: 30
	Custo: 66534, Tempo: 125.514610
	Custo: 66534, Tempo: 124.745865
	Custo: 66486, Tempo: 117.166496
	Custo: 66501, Tempo: 122.099136
	Custo: 66486, Tempo: 121.136467
	Custo: 66462, Tempo: 119.044319
	Custo: 66462, Tempo: 127.853775
	Custo: 66491, Tempo: 117.257446
	Custo: 66491, Tempo: 127.894287
	Custo: 66486, Tempo: 120.204041
Melhor custo: 66462, média dos tempos: 122.291650
Instancia: InstancesBRP/28Brescia20.txt, Q: 20
	Custo: 31300, Tempo: 10.171699
	Custo: 31300, Tempo: 10.242894
	Custo: 31200, Tempo: 10.207342
	Custo: 31300, Tempo: 9.723389
	Custo: 31300, Tempo: 10.300636
	Custo: 31300, Tempo: 10.081182
	Custo: 31300, Tempo: 9.402629
	Custo: 31300, Tempo: 9.651171
	Custo: 31300, Tempo: 10.065811
	Custo: 31200, Tempo: 9.894439
Melhor custo: 31200, média dos tempos: 9.974119
Instancia: InstancesBRP/38Guadalajara11.txt, Q: 11
	Custo: 64981, Tempo: 40.049995
	Custo: 64981, Tempo: 42.304344
	Custo: 64981, Tempo: 41.425793
	Custo: 64981, Tempo: 40.770172
	Custo: 64981, Tempo: 41.734264
	Custo: 64981, Tempo: 43.986000
	Custo: 64981, Tempo: 42.710171
	Custo: 64981, Tempo: 39.120354
	Custo: 64981, Tempo: 41.592384
	Custo: 64981, Tempo: 41.959332
Melhor custo: 64981, média dos tempos: 41.565280
Instancia: InstancesBRP/12Parma10.txt, Q: 10
	Custo: 32500, Tempo: 1.131301
	Custo: 32500, Tempo: 1.236590
	Custo: 32500, Tempo: 1.500606
	Custo: 32500, Tempo: 1.124593
	Custo: 32500, Tempo: 1.179631
	Custo: 32500, Tempo: 1.482422
	Custo: 32500, Tempo: 1.195780
	Custo: 32500, Tempo: 1.226592
	Custo: 32500, Tempo: 1.486413
	Custo: 32500, Tempo: 1.197318
Melhor custo: 32500, média dos tempos: 1.276125
Instancia: InstancesBRP/14Treviso20.txt, Q: 20
	Custo: 29259, Tempo: 1.848519
	Custo: 29259, Tempo: 1.882785
	Custo: 29259, Tempo: 1.720847
	Custo: 29259, Tempo: 1.989290
	Custo: 29259, Tempo: 1.684836
	Custo: 29259, Tempo: 2.050879
	Custo: 29259, Tempo: 1.595959
	Custo: 29259, Tempo: 2.098441
	Custo: 29259, Tempo: 1.616506
	Custo: 29259, Tempo: 1.984735
Melhor custo: 29259, média dos tempos: 1.847280
Instancia: InstancesBRP/26SanAntonio10.txt, Q: 10
	Custo: 39722, Tempo: 6.873312
	Custo: 39846, Tempo: 6.765862
	Custo: 39722, Tempo: 6.620551
	Custo: 39722, Tempo: 6.286664
	Custo: 39722, Tempo: 6.372691
